0.213555,0.061654,0.089114,0.122646,0.302918,0.210112
0.192175,0.072949,0.100632,0.168405,0.275212,0.190627
0.179694,0.077236,0.112210,0.222628,0.236828,0.171404
0.210180,0.077695,0.104695,0.223335,0.210380,0.173715
0.160476,0.082675,0.112983,0.263029,0.217980,0.162856
0.229000,0.081688,0.105423,0.205319,0.203106,0.175464
0.158214,0.083825,0.116526,0.280746,0.203468,0.157221
0.196372,0.094672,0.112995,0.201011,0.208990,0.185960
0.194779,0.055579,0.080541,0.119662,0.313391,0.236048
0.184384,0.072793,0.102906,0.156101,0.268208,0.215609
